customer_id,region_id
C001,APAC
C002,EU
C003,APAC
C004,APAC
C005,NA
C006,OTHER
C007,APAC
C008,APAC
C009,NA
C010,EU
C011,EU
C012,OTHER
C013,EU
C014,APAC
C015,EU
C016,NA
C017,EU
C018,NA
C019,APAC
C020,EU
C021,APAC
C022,EU
C023,OTHER
C024,APAC
C025,APAC
C026,NA
C027,EU
C028,NA
C029,NA
C030,APAC
C031,APAC
C032,OTHER
C033,NA
C034,EU
C035,EU
C036,NA
C037,NA
C038,EU
C039,NA
C040,APAC
C041,EU
C042,APAC
C043,APAC
C044,NA
C045,APAC
C046,APAC
C047,EU
C048,NA
C049,APAC
C050,NA
C051,NA
C052,NA
C053,APAC
C054,APAC
C055,APAC
C056,APAC
C057,EU
C058,EU
C059,NA
C060,NA
C061,APAC
C062,EU
C063,EU
C064,APAC
C065,EU
C066,EU
C067,EU
C068,NA
C069,NA
C070,EU
C071,NA
C072,EU
C073,APAC
C074,NA
C075,NA
C076,NA
C077,NA
C078,APAC
C079,EU
C080,APAC
C081,APAC
C082,EU
C083,APAC
C084,NA
C085,NA
C086,NA
C087,APAC
C088,EU
C089,NA
C090,EU
C091,NA
C092,APAC
C093,EU
C094,EU
C095,NA
C096,EU
C097,EU
C098,NA
C099,NA
C100,OTHER
