volume,average_price,revenue,customer_count
2024-01-01,APAC,P01,43
2024-01-01,APAC,P02,89
2024-01-01,APAC,P03,93
2024-01-01,APAC,P04,83
2024-01-01,EU,P01,92
2024-01-01,EU,P02,75
2024-01-01,EU,P03,68
2024-01-01,EU,P04,59
2024-01-01,NA,P01,95
2024-01-01,NA,P02,81
2024-01-01,NA,P03,51
2024-01-01,NA,P04,97
2024-01-01,OTHER,P01,43
2024-01-01,OTHER,P02,75
2024-01-01,OTHER,P03,51
2024-01-01,OTHER,P04,79
2024-02-01,APAC,P01,64
2024-02-01,APAC,P02,66
2024-02-01,APAC,P03,80
2024-02-01,APAC,P04,85
2024-02-01,EU,P01,62
2024-02-01,EU,P02,99
2024-02-01,EU,P03,69
2024-02-01,EU,P04,49
2024-02-01,NA,P01,40
2024-02-01,NA,P02,52
2024-02-01,NA,P03,81
2024-02-01,NA,P04,72
2024-02-01,OTHER,P01,60
2024-02-01,OTHER,P02,68
2024-02-01,OTHER,P03,90
2024-02-01,OTHER,P04,74
2024-03-01,APAC,P01,43
2024-03-01,APAC,P02,42
2024-03-01,APAC,P03,68
2024-03-01,APAC,P04,64
2024-03-01,EU,P01,91
2024-03-01,EU,P02,74
2024-03-01,EU,P03,85
2024-03-01,EU,P04,75
2024-03-01,NA,P01,60
2024-03-01,NA,P02,79
2024-03-01,NA,P03,77
2024-03-01,NA,P04,83
2024-03-01,OTHER,P01,51
2024-03-01,OTHER,P02,78
2024-03-01,OTHER,P03,57
2024-03-01,OTHER,P04,87
2024-04-01,APAC,P01,87
2024-04-01,APAC,P02,77
2024-04-01,APAC,P03,96
2024-04-01,APAC,P04,72
2024-04-01,EU,P01,41
2024-04-01,EU,P02,76
2024-04-01,EU,P03,86
2024-04-01,EU,P04,46
2024-04-01,NA,P01,46
2024-04-01,NA,P02,56
2024-04-01,NA,P03,90
2024-04-01,NA,P04,71
2024-04-01,OTHER,P01,98
2024-04-01,OTHER,P02,92
2024-04-01,OTHER,P03,73
2024-04-01,OTHER,P04,80
2024-05-01,APAC,P01,59
2024-05-01,APAC,P02,45
2024-05-01,APAC,P03,63
2024-05-01,APAC,P04,75
2024-05-01,EU,P01,50
2024-05-01,EU,P02,53
2024-05-01,EU,P03,40
2024-05-01,EU,P04,84
2024-05-01,NA,P01,93
2024-05-01,NA,P02,89
2024-05-01,NA,P03,62
2024-05-01,NA,P04,75
2024-05-01,OTHER,P01,97
2024-05-01,OTHER,P02,75
2024-05-01,OTHER,P03,57
2024-05-01,OTHER,P04,60
2024-06-01,APAC,P01,83
2024-06-01,APAC,P02,66
2024-06-01,APAC,P03,90
2024-06-01,APAC,P04,91
2024-06-01,EU,P01,42
2024-06-01,EU,P02,83
2024-06-01,EU,P03,62
2024-06-01,EU,P04,71
2024-06-01,NA,P01,55
2024-06-01,NA,P02,62
2024-06-01,NA,P03,59
2024-06-01,NA,P04,43
2024-06-01,OTHER,P01,86
2024-06-01,OTHER,P02,48
2024-06-01,OTHER,P03,62
2024-06-01,OTHER,P04,51
2024-07-01,APAC,P01,49
2024-07-01,APAC,P02,62
2024-07-01,APAC,P03,95
2024-07-01,APAC,P04,96
2024-07-01,EU,P01,62
2024-07-01,EU,P02,70
2024-07-01,EU,P03,99
2024-07-01,EU,P04,54
2024-07-01,NA,P01,96
2024-07-01,NA,P02,46
2024-07-01,NA,P03,53
2024-07-01,NA,P04,60
2024-07-01,OTHER,P01,42
2024-07-01,OTHER,P02,88
2024-07-01,OTHER,P03,91
2024-07-01,OTHER,P04,63
2024-08-01,APAC,P01,90
2024-08-01,APAC,P02,86
2024-08-01,APAC,P03,88
2024-08-01,APAC,P04,88
2024-08-01,EU,P01,74
2024-08-01,EU,P02,46
2024-08-01,EU,P03,95
2024-08-01,EU,P04,76
2024-08-01,NA,P01,94
2024-08-01,NA,P02,97
2024-08-01,NA,P03,51
2024-08-01,NA,P04,64
2024-08-01,OTHER,P01,51
2024-08-01,OTHER,P02,43
2024-08-01,OTHER,P03,97
2024-08-01,OTHER,P04,95
2024-09-01,APAC,P01,95
2024-09-01,APAC,P02,93
2024-09-01,APAC,P03,78
2024-09-01,APAC,P04,71
2024-09-01,EU,P01,99
2024-09-01,EU,P02,73
2024-09-01,EU,P03,78
2024-09-01,EU,P04,52
2024-09-01,NA,P01,84
2024-09-01,NA,P02,89
2024-09-01,NA,P03,80
2024-09-01,NA,P04,69
2024-09-01,OTHER,P01,51
2024-09-01,OTHER,P02,42
2024-09-01,OTHER,P03,77
2024-09-01,OTHER,P04,80
2024-10-01,APAC,P01,86
2024-10-01,APAC,P02,97
2024-10-01,APAC,P03,69
2024-10-01,APAC,P04,89
2024-10-01,EU,P01,82
2024-10-01,EU,P02,56
2024-10-01,EU,P03,90
2024-10-01,EU,P04,43
2024-10-01,NA,P01,75
2024-10-01,NA,P02,96
2024-10-01,NA,P03,79
2024-10-01,NA,P04,96
2024-10-01,OTHER,P01,43
2024-10-01,OTHER,P02,71
2024-10-01,OTHER,P03,86
2024-10-01,OTHER,P04,78
2024-11-01,APAC,P01,92
2024-11-01,APAC,P02,67
2024-11-01,APAC,P03,80
2024-11-01,APAC,P04,65
2024-11-01,EU,P01,92
2024-11-01,EU,P02,47
2024-11-01,EU,P03,55
2024-11-01,EU,P04,45
2024-11-01,NA,P01,82
2024-11-01,NA,P02,53
2024-11-01,NA,P03,59
2024-11-01,NA,P04,90
2024-11-01,OTHER,P01,61
2024-11-01,OTHER,P02,48
2024-11-01,OTHER,P03,41
2024-11-01,OTHER,P04,53
2024-12-01,APAC,P01,94
2024-12-01,APAC,P02,72
2024-12-01,APAC,P03,99
2024-12-01,APAC,P04,52
2024-12-01,EU,P01,61
2024-12-01,EU,P02,49
2024-12-01,EU,P03,63
2024-12-01,EU,P04,73
2024-12-01,NA,P01,88
2024-12-01,NA,P02,62
2024-12-01,NA,P03,86
2024-12-01,NA,P04,77
2024-12-01,OTHER,P01,57
2024-12-01,OTHER,P02,94
2024-12-01,OTHER,P03,66
2024-12-01,OTHER,P04,49
2025-01-01,APAC,P01,97
2025-01-01,APAC,P02,94
2025-01-01,APAC,P03,42
2025-01-01,APAC,P04,94
2025-01-01,EU,P01,96
2025-01-01,EU,P02,89
2025-01-01,EU,P03,55
2025-01-01,EU,P04,77
2025-01-01,NA,P01,72
2025-01-01,NA,P02,77
2025-01-01,NA,P03,76
